Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,Free Shipping,URLs
"Handmade Alexandrite Birthstone Necklace, Personalized June Birthstone Name Necklace, Anniversary Gifts for Wife, Mother's Day Gift for Her",39.80,27.86,(30% off),4.7481,"(5,264)",FREE shipping,https://www.etsy.com/listing/1348120443/handmade-alexandrite-birthstone-necklace?click_key=b446f59e9134af226955899295371df0f697951a%3A1348120443&click_sum=7fc7da1c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-1&pro=1&frs=1&sts=1
"Aquamarine Earrings Dangle, Blue Crystal Earrings Leverback, Blue Earrings Gold, March Birthstone Earrings Gold",85.00,63.75,(25% off),4.9232,"(3,651)",FREE shipping,https://www.etsy.com/listing/1070700382/aquamarine-earrings-dangle-blue-crystal?click_key=679569164ef0cb004df4a5d5d4475528ace29455%3A1070700382&click_sum=acc25bc4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-2&pro=1&frs=1&sts=1
"Explore the Universe: Handmade Solar System Bracelet with Planets and Stars - Galaxy Bracelet - for Men , Women , Girls and Boys",23.13,5.78,(75% off),4.8281,"(1,710)",FREE shipping,https://www.etsy.com/listing/1604220619/explore-the-universe-handmade-solar?click_key=d6aab04f6458aab0178ccada91267674ecc0e580%3A1604220619&click_sum=2161bbe6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-3&pro=1&frs=1
"Paw Print Name Necklace, Personalized Tiny Dog Paw Necklace, Minimalist Paw Necklace, Animal Necklace, Pet Necklace, Christmas Gift",35.00,17.50,(50% off),4.7607,"(13,713)",FREE shipping,https://www.etsy.com/listing/1651883112/paw-print-name-necklace-personalized?click_key=b68617d5b437d7204693db3495e213c276ea95b3%3A1651883112&click_sum=559fb5e2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-4&pro=1&frs=1&sts=1
"Initials Necklace Ampersand or Heart, Letter Necklace, Personalized Gift, Bridal Gift Initial Necklace Dainty Layering LOWERCASE CHMS GZ",34.00,28.90,(15% off),4.8803,"(73,531)",FREE shipping,https://www.etsy.com/listing/159695340/initials-necklace-ampersand-or-heart?click_key=c9b5e7ae5a7fbec2d8c21613b85ee4c60b95879a%3A159695340&click_sum=0964f9bb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-1&pro=1&frs=1&sts=1
"Minimalist Necklace, Dainty Gold Necklace, Handmade Jewelry, Birthstone Necklace for Women, Simple Gold Necklace",30.00,25.50,(15% off),4.8448,"(12,264)",NA,https://www.etsy.com/listing/224374900/minimalist-necklace-dainty-gold-necklace?click_key=f2e25c06b0942d56046683edb2c0e33f3d7426cd%3A224374900&click_sum=cc1dda79&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-2&pro=1&sts=1
"Raw Crystal Necklace, Rose quartz, Carnelian Crystal Necklace, Opal Necklace Peridot Necklace, Stone Pendant Crystal Jewelry, Valentines Day",39.00,31.20,(20% off),4.9065,"(79,625)",NA,https://www.etsy.com/listing/462945859/raw-crystal-necklace-rose-quartz?click_key=5faf0eaa1b53348cc0e617e49a541e13b18cfa19%3A462945859&click_sum=e90a0d0f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-3&pro=1&sts=1
Custom Name Stethoscope Necklace | Medical Student Gift | Nurse Gift | Doctor Gift | Name Necklace| Graduation Gift | Valentine Gifts,50.99,40.79,(20% off),4.8459,"(4,140)",NA,https://www.etsy.com/listing/546844015/custom-name-stethoscope-necklace-medical?click_key=fb374fccee000101a96c1cdd7db561b8dbcd211f%3A546844015&click_sum=fb25c7b6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-4&pro=1
"Minimalist Aquamarine Necklace,  Dainty Aquamarine Jewelry, Necklaces for Women, March Birthstone Necklace, Simple Gemstone Necklace",34.00,28.90,(15% off),4.8448,"(12,264)",NA,https://www.etsy.com/listing/208829164/minimalist-aquamarine-necklace-dainty?click_key=485bb87914df8b834e7b10f75c90f0b6f15079bf%3A208829164&click_sum=465c08d8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-5&pro=1&sts=1
"Maid of Honor Sister Bracelet, Maid of Honor Gift, Maid of Honor Proposal, Maid of Honor Bracelet Gift, Matron of Honor Gift,Red Fern Studio",NA,36.00,NA,4.9446,"(5,505)",FREE shipping,https://www.etsy.com/listing/492211039/maid-of-honor-sister-bracelet-maid-of?click_key=510cf482aa895c21e3a45591b592732ee54085ce%3A492211039&click_sum=5c9e7857&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-6&frs=1&etp=1&sts=1
