Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,URLs,Free Shipping
14k Gold Chain Necklace - Box Chain - Rope Chain - Paperclip Chain - Curby Chain - Twist Chain - Herringbone Chain - Chains for Women,60.00,28.80,(52% off),NA,2946,https://www.etsy.com/listing/1611128424/14k-gold-chain-necklace-box-chain-rope?click_key=364acd97593c751fa03c966e7ff84cddb3cfe596%3A1611128424&click_sum=1cc3bf2b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480908-1-1&pro=1&frs=1&sts=1,FREE shipping
"Turquoise Flower Stud Earrings, Sterling Silver Floral Studs, Boho Dainty Earrings, Gemstone Jewellery For Women, Minimalist Earrings",53.36,40.02,(25% off),NA,NA,https://www.etsy.com/listing/1690815783/turquoise-flower-stud-earrings-sterling?click_key=4c144ed8cb8a66df93f70f144714436206068169%3A1690815783&click_sum=83c84e7d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480908-1-2&pro=1&frs=1,FREE shipping
"Large bi-color imperial topaz dangling earrings, orange pink topaz drop earrings, gift for her, gift for mom",NA,39.50,NA,NA,6821,https://www.etsy.com/listing/862699431/large-bi-color-imperial-topaz-dangling?click_key=cea47a56ddf34813cf937d40af10441b248b3cea%3A862699431&click_sum=ea711481&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480908-1-3&bes=1,NA
"Custom Pet Portrait Necklace, Engraved Pet Portrait Necklace, Personalized Gifts, Custom Dog Lover Necklace, Gift for Kids, Pet Loss Gift,",49.00,14.70,(70% off),NA,NA,https://www.etsy.com/listing/1689934213/custom-pet-portrait-necklace-engraved?click_key=2800e6e682aefda140d451929ff9f28ad0a2c94c%3A1689934213&click_sum=28be097f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480908-1-4&pro=1&frs=1,FREE shipping
"Photo Locket Necklace, Folding Locket with Pictures, Memorial Necklace, Customized Engraved Necklace, Heart Locket, Personalised Gift, F&F",NA,46.70,NA,NA,41478,https://www.etsy.com/listing/469875368/photo-locket-necklace-folding-locket?click_key=3ca7b2e9b0b95c9667a43f39bc2d678d79fe45b1%3A469875368&click_sum=455e48ce&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-1&frs=1&etp=1&sts=1,FREE shipping
"Raw Crystal Necklace, Rose quartz, Carnelian Crystal Necklace, Opal Necklace Peridot Necklace, Stone Pendant Crystal Jewelry, Valentines Day",39.00,31.20,(20% off),NA,NA,https://www.etsy.com/listing/462945859/raw-crystal-necklace-rose-quartz?click_key=b4b37be1b58cd1e80e67cf8673ea52d6eb5c80ba%3A462945859&click_sum=a3a87584&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-2&pro=1&sts=1,NA
"Initials Necklace Ampersand or Heart, Letter Necklace, Personalized Gift, Bridal Gift Initial Necklace Dainty Layering LOWERCASE CHMS GZ",34.00,28.90,(15% off),NA,79471,https://www.etsy.com/listing/159695340/initials-necklace-ampersand-or-heart?click_key=8bdd940342bec9b487264d4130400c89c92cf147%3A159695340&click_sum=262cf0c9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-3&pro=1&frs=1&sts=1,FREE shipping
Custom Name Stethoscope Necklace | Medical Student Gift | Nurse Gift | Doctor Gift | Name Necklace| Graduation Gift | Valentine Gifts,50.99,40.79,(20% off),NA,NA,https://www.etsy.com/listing/546844015/custom-name-stethoscope-necklace-medical?click_key=d56aeee7f8d654033c12cf8d2c37639d986e4d28%3A546844015&click_sum=b51edf8c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-4&pro=1,NA
Personalized silver bracelet sterling silver cuff or brass cuff custom bracelet bangle,NA,30.00,NA,NA,73371,https://www.etsy.com/listing/172007858/personalized-silver-bracelet-sterling?click_key=f369da9590875bb017e13250d5a84a8dfb19a9c1%3A172007858&click_sum=1a5412cf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-5&etp=1&sts=1,NA
"EVE Necklace • Beaded Chain • Choker Necklace, Satellite Necklace, Dainty Beaded Necklace, Layering Beaded Chain, Delicate Wedding Necklace",43.00,34.40,(20% off),NA,NA,https://www.etsy.com/listing/246331662/eve-necklace-beaded-chain-choker?click_key=0bb58ebf5c55bc16c940b18f50d4c1272d34616d%3A246331662&click_sum=09dee81a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-6&pro=1,NA
